site,year,site_year,ID,market_both_score,market_binomial,abundance_clients_100m2,abundance_large_100m2,abundance_small_100m2,abundance_cleaners_100m2,cleaner_small_ratio,cleaner_large_ratio,cleaner_client_ratio,opportunities_total,swim_off,percentage_swim_off
CB,2010,CB 2010,CL01,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL02,120,1,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL03,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL04,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL05,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL06,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL07,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL08,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL09,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL10,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2017,CB 2017,CL01,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL02,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL03,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL04,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL05,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL06,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL07,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL08,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL09,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL10,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2018,CB 2018,CL 11,150,1,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 12,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 13,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 14,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 15,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 16,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 17,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 18,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 19,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 20,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
HS,2017,HS 2017,CL21,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL22,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL23,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL24,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL25,80,1,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL26,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL27,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL28,130,1,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL29,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL30,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
MC,2010,MC 2010,CL01,80,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL02,100,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL03,110,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL04,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL05,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL06,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL07,200,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL08,> 200,0,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL09,> 200,0,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL10,> 200,0,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2016,MC 2016,Cl01,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl02,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl03,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl04,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl06,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl07,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl08,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl09,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl10,> 200,0,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2016,MC 2016,Cl05,170,1,48.66666667,24.2,24.46666667,0.466666667,1.907356949,1.839223871,0.95890411,21.47323042,0.877987771,4.088754947
MC,2017,MC 2017,CL31,190,1,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL32,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL33,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL34,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL35,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL36,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL37,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL38,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL39,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2017,MC 2017,CL40,> 200,0,38.73333334,19.06666667,19.66666667,0.666666667,3.38983051,4.2462431,1.721170396,19.72185443,1.858234524,9.422209917
MC,2018,MC 2018,CL 21,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 22,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 23,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 24,140,1,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 25,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 26,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 27,100,1,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 28,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 29,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
MC,2018,MC 2018,CL 30,> 200,0,47.53333333,16.86666667,30.66666667,0.866666667,2.826086957,6.805685293,1.823281908,27.53895833,2.023263889,6.739899363
NHS,2016,NHS 2016,Cl12,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl13,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl14,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl15,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl17,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl18,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl19,150,1,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl20,> 200,0,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl21,180,1,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2016,NHS 2016,Cl23,110,1,133.2666667,21,112.2666667,0.466666667,0.41567696,2.994514473,0.350175088,11.31476261,0.48641802,4.298967966
NHS,2017,NHS 2017,CL11,100,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL12,90,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL13,> 200,0,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL14,200,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL15,90,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL16,> 200,0,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL17,200,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL18,180,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL19,180,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2017,NHS 2017,CL20,180,1,97.46666667,21.13333333,76.33333334,1.4,1.834061135,6.4906631,1.436388509,38.62462519,13.59309827,35.19282894
NHS,2018,NHS 2018,CL 01,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 02,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 03,120,1,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 04,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 05,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 06,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 07,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 08,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 09,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
NHS,2018,NHS 2018,CL 10,> 200,0,152.2666667,25.6,126.6666667,1.2,0.947368421,5.108220029,0.788091068,33.13631945,2.483819444,6.152105338
TC,2018,TC 2018,CL31,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL32,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL33,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL34,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL35,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL36,190,1,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL37,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL38,200,1,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL39,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456
TC,2018,TC 2018,CL40,> 200,0,147.7142857,39.14285714,108.5714286,3.047619048,2.807017543,7.6954673,2.063185042,9.986888889,1.060666667,9.923815456